MSN,YYYYMM,Value,Column_Order,Description,Unit
NGINSUS,201809,14,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,201809,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,201809,3.23,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,201809,96.2,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,201810,Not Available,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,201810,4.1,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,201810,12.22,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,201810,96.5,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,201810,7.69,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,201810,61.3,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,201810,4.03,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,201810,14.3,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,201810,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,201810,3.52,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,201810,96.4,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,201811,Not Available,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,201811,4.28,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,201811,9.42,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,201811,96.4,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,201811,7.34,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,201811,66.6,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,201811,4.51,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,201811,14.5,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,201811,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,201811,4.34,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,201811,94.6,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,201812,Not Available,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,201812,4.72,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,201812,9.62,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,201812,96.2,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,201812,7.7,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,201812,69,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,201812,5.47,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,201812,14.5,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,201812,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,201812,4.89,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,201812,95.6,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,201813,Not Available,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,201813,4.23,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,201813,10.5,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,201813,96,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,201813,7.79,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,201813,65.8,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,201813,4.19,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,201813,14.5,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,201813,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,201813,3.68,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,201813,95.4,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,201901,Not Available,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,201901,4.03,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,201901,9.36,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,201901,96.4,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,201901,7.67,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,201901,70.1,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,201901,5.02,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,201901,13.7,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,201901,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,201901,4.16,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,201901,96.4,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,201902,Not Available,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,201902,3.91,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,201902,9.4,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,201902,96.1,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,201902,7.54,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,201902,69.3,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,201902,4.62,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,201902,14.1,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,201902,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,201902,3.78,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,201902,95.5,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,201903,Not Available,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,201903,4.07,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,201903,9.42,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,201903,96,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,201903,7.4,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,201903,69.1,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,201903,4.31,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,201903,13.7,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,201903,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,201903,3.6,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,201903,95.7,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,201904,Not Available,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,201904,3.72,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,201904,10.85,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,201904,95.6,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,201904,7.72,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,201904,64.1,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,201904,3.99,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,201904,13,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,201904,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,201904,2.99,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,201904,96.2,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,201905,Not Available,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,201905,3.66,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,201905,12.76,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,201905,95.7,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,201905,8.06,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,201905,60.6,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,201905,3.64,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,201905,12.7,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,201905,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,201905,2.85,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,201905,97.9,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,201906,Not Available,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,201906,4.17,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,201906,15.6,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,201906,95.6,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,201906,8.29,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,201906,58.1,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,201906,3.55,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,201906,12.4,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,201906,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,201906,2.66,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,201906,97.1,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,201907,Not Available,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,201907,4.17,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,201907,17.74,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,201907,95.9,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,201907,8.47,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,201907,56,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,201907,3.33,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,201907,13,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,201907,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,201907,2.63,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,201907,96.6,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,201908,Not Available,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,201908,4.15,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,201908,18.37,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,201908,96.1,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,201908,8.41,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,201908,55.6,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,201908,3.18,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,201908,12.4,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,201908,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,201908,2.5,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,201908,96.5,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,201909,Not Available,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,201909,4.07,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,201909,17.61,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,201909,96.2,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,201909,8.34,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,201909,56.2,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,201909,3.35,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,201909,12.2,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,201909,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,201909,2.68,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,201909,96.8,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,201910,Not Available,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,201910,3.42,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,201910,12.5,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,201910,96.8,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,201910,7.63,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,201910,60.3,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,201910,3.43,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,201910,12,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,201910,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,201910,2.58,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,201910,96.5,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,201911,Not Available,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,201911,3.46,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,201911,9.33,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,201911,96.6,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,201911,6.98,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,201911,66.7,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,201911,3.86,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,201911,12.7,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,201911,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,201911,3.08,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,201911,96.3,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,201912,Not Available,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,201912,3.5,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,201912,9.3,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,201912,96.4,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,201912,7.19,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,201912,68.8,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,201912,3.84,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,201912,13,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,201912,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,201912,3.04,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,201912,96.4,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,201913,Not Available,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,201913,3.81,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,201913,10.51,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,201913,96.2,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,201913,7.61,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,201913,65.5,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,201913,3.9,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,201913,13,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,201913,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,201913,2.99,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,201913,96.5,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,202001,Not Available,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,202001,3.26,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,202001,9.43,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,202001,96.4,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,202001,7.24,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,202001,69.5,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,202001,3.71,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,202001,13.1,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,202001,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,202001,2.74,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,202001,95,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,202002,Not Available,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,202002,3.09,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,202002,9.19,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,202002,96.3,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,202002,7.03,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,202002,69,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,202002,3.58,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,202002,13.2,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,202002,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,202002,2.5,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,202002,96.2,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,202003,Not Available,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,202003,3.25,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,202003,9.8,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,202003,96,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,202003,7.29,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,202003,66.6,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,202003,3.39,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,202003,13,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,202003,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,202003,2.23,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,202003,96,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,202004,Not Available,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,202004,3.05,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,202004,10.42,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,202004,95.9,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,202004,7.24,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,202004,63.9,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,202004,3,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,202004,12.8,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,202004,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,202004,2.2,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,202004,96.1,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,202005,Not Available,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,202005,3.31,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,202005,11.79,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,202005,95.7,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,202005,7.73,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,202005,59,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,202005,2.91,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,202005,13.1,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,202005,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,202005,2.26,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,202005,96.4,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,202006,Not Available,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,202006,3.81,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,202006,15.33,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,202006,95.9,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,202006,8.23,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,202006,56.6,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,202006,2.72,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,202006,12.9,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,202006,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,202006,2.1,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,202006,96.7,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,202007,Not Available,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
NGCGUUS,202007,3.92,2,"Natural Gas Price, Citygate",Dollars per Thousand Cubic Feet
NGRCUUS,202007,17.49,3,"Natural Gas Price, Delivered to Consumers, Residential",Dollars per Thousand Cubic Feet
NGRCSUS,202007,96.3,4,Percentage of Residential Sector Consumption for Which Price Data Are Available,Percent
NGCCUUS,202007,8.49,5,"Natural Gas Price, Delivered to Consumers, Commercial",Dollars per Thousand Cubic Feet
NGCCSUS,202007,56,6,Percentage of Commercial Sector Consumption for Which Price Data Are Available,Percent
NGINUUS,202007,2.58,7,"Natural Gas Price, Delivered to Consumers, Industrial",Dollars per Thousand Cubic Feet
NGINSUS,202007,12.9,8,Percentage of Industrial Sector Consumption for Which Price Data Are Available,Percent
NGVHUUS,202007,Not Available,9,Natural Gas Transportation Sector Price,Dollars per Thousand Cubic Feet
NGEIUUS,202007,2.14,10,"Natural Gas Price, Electric Power Sector",Dollars per Thousand Cubic Feet
NGEISUS,202007,96.4,11,Percentage of Electric Power Sector Consumption for Which Price Data Are Available,Percent
NGWPUUS,202008,Not Available,1,"Natural Gas Price, Wellhead",Dollars per Thousand Cubic Feet
